Time;UR_INT;T_INT;UR_EXT;T_EXT
2024-07-20 14:26:18; 52.00; 26.00; 46.00; 24.60
2024-07-20 14:26:28; 52.00; 26.00; 46.00; 24.60
2024-07-20 14:26:38; 54.00; 26.00; 47.00; 24.70
2024-07-20 14:26:48; 50.00; 26.00; 47.00; 24.80
2024-07-20 14:26:59; 48.00; 26.00; 46.00; 24.90
2024-07-20 14:27:09; 46.00; 26.00; 44.00; 25.00
2024-07-20 14:27:19; 45.00; 27.00; 44.00; 25.10
2024-07-20 14:27:29; 45.00; 27.00; 43.00; 25.10
2024-07-20 14:27:39; 44.00; 27.00; 42.00; 25.30
2024-07-20 14:27:49; 43.00; 27.00; 42.00; 25.30
2024-07-20 14:27:59; 43.00; 27.00; 41.00; 25.40
2024-07-20 14:28:09; 44.00; 27.00; 42.00; 25.60
2024-07-20 14:28:19; 44.00; 27.00; 42.00; 25.60
2024-07-20 14:28:29; 43.00; 27.00; 41.00; 25.70
2024-07-20 14:28:39; 43.00; 27.00; 40.00; 25.70
2024-07-20 14:28:49; 43.00; 27.00; 40.00; 25.80
2024-07-20 14:28:59; 45.00; 27.00; 41.00; 25.80
2024-07-20 14:29:09; 47.00; 27.00; 42.00; 25.90
2024-07-20 14:29:19; 47.00; 27.00; 43.00; 25.90
2024-07-20 14:29:29; 45.00; 27.00; 44.00; 26.00
2024-07-20 14:29:40; 46.00; 27.00; 44.00; 26.00
2024-07-20 14:29:50; 45.00; 27.00; 43.00; 26.00
2024-07-20 14:30:00; 44.00; 27.00; 43.00; 26.00
2024-07-20 14:30:10; 43.00; 28.00; 42.00; 26.10
2024-07-20 14:30:20; 43.00; 28.00; 41.00; 26.20
2024-07-20 14:30:30; 43.00; 28.00; 41.00; 26.30
2024-07-20 14:30:40; 42.00; 28.00; 40.00; 26.40
2024-07-20 14:30:50; 43.00; 28.00; 40.00; 26.40
2024-07-20 14:31:00; 43.00; 28.00; 40.00; 26.50
2024-07-20 14:31:10; 43.00; 28.00; 40.00; 26.60
2024-07-20 14:31:20; 43.00; 28.00; 40.00; 26.60
2024-07-20 14:31:30; 43.00; 28.00; 40.00; 26.70
2024-07-20 14:31:40; 42.00; 28.00; 40.00; 26.70
2024-07-20 14:31:50; 43.00; 28.00; 40.00; 26.70
2024-07-20 14:32:00; 42.00; 28.00; 40.00; 26.70
2024-07-20 14:32:10; 42.00; 28.00; 40.00; 26.70
2024-07-20 14:32:21; 43.00; 28.00; 40.00; 26.70
2024-07-20 14:32:31; 43.00; 28.00; 40.00; 26.70
2024-07-20 14:32:41; 43.00; 28.00; 40.00; 26.70
2024-07-20 14:32:51; 44.00; 28.00; 41.00; 26.70
2024-07-20 14:33:01; 44.00; 28.00; 41.00; 26.80
2024-07-20 14:33:11; 43.00; 28.00; 40.00; 26.90
2024-07-20 14:33:21; 43.00; 28.00; 40.00; 26.90
2024-07-20 14:33:31; 42.00; 28.00; 39.00; 27.00
2024-07-20 14:33:41; 42.00; 28.00; 39.00; 27.00
2024-07-20 14:33:51; 42.00; 28.00; 39.00; 27.00
2024-07-20 14:34:01; 42.00; 28.00; 38.00; 27.00
2024-07-20 14:34:11; 42.00; 28.00; 38.00; 27.00
2024-07-20 14:34:21; 42.00; 28.00; 38.00; 27.10
2024-07-20 14:34:31; 42.00; 28.00; 38.00; 27.10
2024-07-20 14:34:41; 42.00; 28.00; 38.00; 27.00
2024-07-20 14:34:51; 42.00; 28.00; 38.00; 27.10
2024-07-20 14:35:02; 44.00; 28.00; 39.00; 27.10
2024-07-20 14:35:12; 44.00; 28.00; 39.00; 27.10
2024-07-20 14:35:22; 43.00; 28.00; 39.00; 27.10
2024-07-20 14:35:32; 44.00; 28.00; 40.00; 27.10
2024-07-20 14:35:42; 44.00; 28.00; 40.00; 27.10
2024-07-20 14:35:52; 44.00; 28.00; 40.00; 27.10
2024-07-20 14:36:02; 45.00; 28.00; 40.00; 27.20
2024-07-20 14:36:12; 46.00; 28.00; 41.00; 27.20
2024-07-20 14:36:22; 45.00; 28.00; 41.00; 27.20
