Time;UR_INT;T_INT;UR_EXT;T_EXT
2024-07-21 17:03:48; 60.00; 25.00; 55.00; 24.00
2024-07-21 17:03:58; 60.00; 25.00; 55.00; 24.00
2024-07-21 17:04:08; 62.00; 25.00; 55.00; 24.00
2024-07-21 17:04:18; 61.00; 25.00; 55.00; 24.00
2024-07-21 17:04:28; 60.00; 25.00; 54.00; 24.10
2024-07-21 17:04:38; 60.00; 25.00; 54.00; 24.20
2024-07-21 17:04:48; 60.00; 25.00; 54.00; 24.20
2024-07-21 17:04:58; 60.00; 25.00; 54.00; 24.30
2024-07-21 17:05:08; 60.00; 25.00; 53.00; 24.30
2024-07-21 17:05:18; 60.00; 25.00; 53.00; 24.30
2024-07-21 17:05:28; 60.00; 25.00; 53.00; 24.40
2024-07-21 17:05:38; 59.00; 25.00; 53.00; 24.40
2024-07-21 17:05:48; 59.00; 25.00; 53.00; 24.40
2024-07-21 17:05:58; 59.00; 25.00; 53.00; 24.40
2024-07-21 17:06:09; 59.00; 25.00; 53.00; 24.50
2024-07-21 17:06:19; 59.00; 25.00; 53.00; 24.50
2024-07-21 17:06:29; 59.00; 25.00; 53.00; 24.50
2024-07-21 17:06:39; 60.00; 25.00; 53.00; 24.50
2024-07-21 17:06:49; 60.00; 25.00; 53.00; 24.50
2024-07-21 17:06:59; 60.00; 25.00; 53.00; 24.50
2024-07-21 17:07:09; 60.00; 25.00; 53.00; 24.60
2024-07-21 17:07:19; 60.00; 25.00; 53.00; 24.60
2024-07-21 17:07:29; 60.00; 25.00; 53.00; 24.60
2024-07-21 17:07:39; 60.00; 25.00; 52.00; 24.60
2024-07-21 17:07:49; 60.00; 25.00; 52.00; 24.60
2024-07-21 17:07:59; 60.00; 25.00; 53.00; 24.60
2024-07-21 17:08:09; 60.00; 25.00; 52.00; 24.60
2024-07-21 17:08:19; 59.00; 25.00; 52.00; 24.60
2024-07-21 17:08:29; 60.00; 25.00; 52.00; 24.60
2024-07-21 17:08:39; 59.00; 25.00; 52.00; 24.70
2024-07-21 17:08:50; 59.00; 25.00; 52.00; 24.70
2024-07-21 17:09:00; 60.00; 25.00; 52.00; 24.70
2024-07-21 17:09:10; 60.00; 25.00; 52.00; 24.70
2024-07-21 17:09:20; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:09:30; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:09:40; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:09:50; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:10:00; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:10:10; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:10:20; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:10:30; 59.00; 25.00; 51.00; 24.80
2024-07-21 17:10:40; 59.00; 25.00; 51.00; 24.80
2024-07-21 17:10:50; 60.00; 25.00; 52.00; 24.90
2024-07-21 17:11:00; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:11:10; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:11:20; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:11:31; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:11:41; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:11:51; 60.00; 25.00; 52.00; 24.80
2024-07-21 17:12:01; 60.00; 25.00; 52.00; 24.90
2024-07-21 17:12:11; 60.00; 25.00; 52.00; 24.90
