Time;UR_INT;T_INT;UR_EXT;T_EXT
2024-07-18 12:42:53; 57.00; 27.00; 46.00; 27.00
2024-07-18 12:43:03; 56.00; 27.00; 45.00; 27.00
2024-07-18 12:43:13; 55.00; 27.00; 45.00; 27.10
2024-07-18 12:43:23; 55.00; 27.00; 45.00; 27.20
2024-07-18 12:43:33; 55.00; 27.00; 44.00; 27.40
2024-07-18 12:43:43; 53.00; 27.00; 43.00; 27.50
2024-07-18 12:43:54; 53.00; 27.00; 43.00; 27.60
2024-07-18 12:44:04; 53.00; 27.00; 42.00; 27.60
2024-07-18 12:44:14; 52.00; 27.00; 42.00; 27.60
2024-07-18 12:44:24; 50.00; 28.00; 41.00; 27.60
2024-07-18 12:44:34; 51.00; 28.00; 41.00; 27.70
2024-07-18 12:44:44; 52.00; 28.00; 41.00; 27.70
2024-07-18 12:44:54; 53.00; 28.00; 42.00; 27.70
2024-07-18 12:45:04; 51.00; 28.00; 41.00; 27.70
2024-07-18 12:45:14; 52.00; 28.00; 41.00; 27.70
2024-07-18 12:45:24; 53.00; 28.00; 42.00; 27.80
2024-07-18 12:45:34; 51.00; 28.00; 41.00; 27.80
2024-07-18 12:45:44; 51.00; 28.00; 41.00; 27.80
2024-07-18 12:45:54; 52.00; 28.00; 41.00; 27.80
2024-07-18 12:46:04; 51.00; 28.00; 41.00; 27.90
2024-07-18 12:46:14; 52.00; 28.00; 41.00; 27.90
2024-07-18 12:46:24; 52.00; 28.00; 41.00; 27.90
2024-07-18 12:46:35; 51.00; 28.00; 41.00; 27.90
2024-07-18 12:46:45; 51.00; 28.00; 41.00; 27.90
2024-07-18 12:46:55; 52.00; 28.00; 42.00; 28.00
2024-07-18 12:47:05; 52.00; 28.00; 42.00; 28.00
2024-07-18 12:47:15; 53.00; 28.00; 42.00; 28.00
2024-07-18 12:47:25; 53.00; 28.00; 43.00; 28.00
2024-07-18 12:47:35; 52.00; 28.00; 43.00; 28.00
2024-07-18 12:47:45; 52.00; 28.00; 42.00; 27.90
2024-07-18 12:47:55; 50.00; 28.00; 41.00; 27.80
2024-07-18 12:48:05; 49.00; 28.00; 41.00; 27.80
2024-07-18 12:48:15; 49.00; 28.00; 41.00; 27.90
2024-07-18 12:48:25; 48.00; 28.00; 41.00; 28.00
2024-07-18 12:48:35; 52.00; 28.00; 42.00; 28.00
2024-07-18 12:48:45; 55.00; 28.00; 43.00; 28.10
2024-07-18 12:48:55; 55.00; 28.00; 44.00; 28.20
2024-07-18 12:49:05; 54.00; 28.00; 44.00; 28.30
